11-0-6-0,299
11-0-6-1,299
11-0-7-0,300
11-0-7-1,300
11-0-8-0,298
11-0-8-1,298
11-0-9-0,298
11-0-9-1,298
11-1-0-0,111
11-1-0-1,111
11-1-1-0,298
11-1-1-1,298
11-1-2-0,299
11-1-2-1,299
11-1-3-0,299
11-1-3-1,299
11-1-4-0,111
11-1-4-1,111
11-2-0-0,298
11-2-0-1,298
11-2-1-0,299
11-2-1-1,299
11-2-2-0,111
11-2-2-1,111
11-2-4-0,299
11-2-4-1,299
11-2-5-0,111
11-2-5-1,111
11-2-6-0,300
11-2-6-1,300
11-2-7-0,299
11-2-7-1,299
11-2-8-0,299
11-2-8-1,299
11-2-9-0,299
11-2-9-1,299
11-3-0-0,299
11-3-0-1,299
11-4-0-0,299
11-4-0-1,299
11-4-1-0,298
11-4-1-1,298
11-5-0-0,299
11-5-0-1,299
11-5-1-0,299
11-5-1-1,299
11-5-2-0,111
11-5-2-1,111
11-5-3-0,111
11-5-3-1,111
11-5-4-0,298
11-5-4-1,298
12-0-0-0,299
12-0-0-1,299
12-0-1-0,299
12-0-1-1,299
12-0-2-0,299
12-0-2-1,299
12-0-3-0,298
12-0-3-1,298
12-1-0-0,299
12-1-0-1,299
12-1-1-0,111
12-1-1-1,111
12-1-2-0,299
12-1-2-1,299
12-1-3-0,299
12-1-3-1,299
12-2-0-0,111
12-2-0-1,111
12-2-1-0,299
12-2-1-1,299
12-2-10-0,111
12-2-10-1,111
12-2-11-0,299
12-2-11-1,299
12-2-12-0,111
12-2-12-1,111
12-2-13-0,299
12-2-13-1,299
12-2-2-0,299
12-2-2-1,299
12-2-3-0,299
12-2-3-1,299
12-2-4-0,300
12-2-4-1,300
12-2-5-0,299
12-2-5-1,299
12-2-6-0,299
12-2-6-1,299
12-2-7-0,111
12-2-7-1,111
12-2-9-0,298
12-2-9-1,298
12-3-0-0,299
12-3-0-1,299
12-3-1-0,299
12-3-1-1,299
12-3-4-0,299
12-3-4-1,299
12-3-5-0,298
12-3-5-1,298
12-3-6-0,298
12-3-6-1,298
13-0-0-0,298
13-0-0-1,298
13-0-1-0,300
13-0-1-1,300
13-1-0-0,299
13-1-0-1,299
13-1-10-0,298
13-1-10-1,298
13-1-11-0,299
13-1-11-1,299
13-1-12-0,111
13-1-12-1,111
13-1-13-0,299
13-1-13-1,299
13-1-2-0,299
13-1-2-1,299
13-1-3-0,298
13-1-3-1,298
13-1-4-0,111
13-1-4-1,111
13-1-5-0,298
13-1-5-1,298
13-1-7-0,299
13-1-7-1,299
13-1-8-0,298
13-1-8-1,298
13-1-9-0,111
13-1-9-1,111
14-0-0-0,298
14-0-0-1,298
14-0-1-0,298
14-0-1-1,298
14-1-0-0,298
14-1-0-1,298
14-1-1-0,298
14-1-1-1,298
14-1-2-0,299
14-1-2-1,299
14-10-0-0,299
14-10-0-1,299
14-10-1-0,299
14-10-1-1,299
14-10-2-0,298
14-10-2-1,298
14-10-3-0,299
14-10-3-1,299
14-10-4-0,298
14-10-4-1,298
14-10-5-0,299
14-10-5-1,299
14-10-6-0,298
14-10-6-1,298
14-10-7-0,298
14-10-7-1,298
14-10-8-0,299
14-10-8-1,299
14-10-9-0,299
14-10-9-1,299
14-11-0-0,299
14-11-0-1,299
14-11-1-0,111
14-11-1-1,111
14-11-2-0,299
14-11-2-1,299
14-11-3-0,111
14-11-3-1,111
14-12-0-0,299
14-12-0-1,299
14-12-1-0,299
14-12-1-1,299
14-12-10-0,299
14-12-10-1,299
14-12-11-0,299
14-12-11-1,299
14-12-12-0,111
